"2017-En-40023","	Este la mayoría de mierda de deprimir nunca	","sadness", 0.861
"2017-En-40245","	@username @username presidencia de Triunfo-una edad oscura para los EE.UU. y el mundo . Él  más sin duda tomarnos a guerra . Dolor & de plazo Largo corto	","sadness", 0.604
"2017-En-40169","	@username #EndTrumpweek complacer,  está #deprimiéndome.	","sadness", 0.667
"2017-En-41337","	SRV Es ' Voodoo Niño ' es aproximadamente num el tiempo mejor que Jimi es . #Música #de guitarra #blues	","sadness", 0.292
"2017-En-41139","	mi bls deprimir el blake	","sadness", 0.585
"2017-En-40167","	soy honestamente trastornado que  premiaron Nicole numk . #Deprimiendo #paulwasrobbed #rewardhardwork #bitterjury #bbnum	","sadness", 0.667
"2017-En-40818","	Si  hube un poco de dinero extra  soplaría el entero paycheck e ir a uno del dos de @username ' s conciertos en LA . #Serio	","sadness", 0.167
"2017-En-41372","	 puedo no incluso celebrar mi gana o llorar la causa de mi L primera semana de prueba es que ocupado 😕	","sadness", 0.750
"2017-En-40354","	@username les dejó saber  es el #blues	","sadness", 0.521
"2017-En-40715","	Mmmm #café y un libro #bueno en un dreary día ! Quiénes pueden batir aquello ?	","sadness", 0.250
"2017-En-41125","	@username nah,  pregunté realmente insightful teacherly cuestiona tan  pueda escribir un kickass informe de su propio. Él , tristemente, nunca saber	","sadness", 0.521
"2017-En-21333","	Romero está jodiendo terrible gusta seriamente mi num el mes viejo es mejor que le .	","sadness", 0.583
"2017-En-41037","	“ Mi amigo   vuelas fuera ahora ? A un mundial aquello te aborreces e I ? Todo aquello aguarda  es un somber morrow Ningún asunto donde los vientos pueden soplar ”	","sadness", 0.544
"2017-En-41177","	@username y @username ' Ser encima lo . ' Por qué EE.UU. ha #panicattacks #depresión #de ansiedad y tanta medicación !	","sadness", 0.708
"2017-En-41348","	🍂 🎵 ☀ \ n #La caída suena grande ! \ ndream #blues #Rock por @username . \ nGet El álbum superior ' Un Amor ' por héroe @username . :D	","sadness", 0.104
"2017-En-40252","	Im clase de confundió . El cosa i hacer bien ahora tiene un futuro grande, pero por otro lado tan hace la cosa nueva . #Perdido #needhelp	","sadness", 0.604
"2017-En-40337","	Cómo podría tal cuervo,enganchó arriba,delusional,dim&amp; #oscuro hearted falso ser sorprendido perdiendo&amp;prob también ppl no dejará su gota de delitos! #nwo imo	","sadness", 0.541
"2017-En-40608","	De alguna manera num % de la salchicha en este pasta hice ido al fondo tan  estoy comiendo salchicha con un bit minúsculo de leftover pasta	","sadness", 0.333
"2017-En-40387","	@username tristemente, la guerra a menudo ha sido el factor que el salto empieza EE.UU. crecimiento económico	","sadness", 0.479
"2017-En-41303","	Gracias a todos los #conductores serenos . Los ganadores reales de la noche ! #ClemvsGT	","sadness", 0.188
"2017-En-41278","	Tema interesante esta anochecer ... Tristeza & humor bajo . #MHChat	","sadness", 0.708
"2017-En-41143","	@username Si no entendemos cómo para expresar nuestras emociones a otros, puede dirigir a tristeza / loneliness &amp; neg impacto en plazo largo mh #MHChat	","sadness", 0.562
"2017-En-40827","	Anum : Pero la tristeza crónica puede significar hay asuntos subyacentes que consiguiendo tristes occassionally sobre un asunto particular ( num/num ) #mhchat	","sadness", 0.562
"2017-En-41461","	. @username - Da las gracias por compartir ! Huéspedes de sorpresa ! @username & Visitando Tenor de EE.UU. Sax @username . #livemusic #capetown #blues	","sadness", 0.267
"2017-En-40978","	@username @username Inclinó para creer que ' documental ' le hizo más daño que bueno . Si no I desesperación de las facultades críticas de las personas .	","sadness", 0.562
"2017-En-40431","	No sabes cómo para encantarme cuándo eres sereno #sereno #selenagomez #resurgimiento	","sadness", 0.458
"2017-En-40270","	Un paso adelante, dos pasos backward, el enlace a RogerFedererShop doesn´t trabajo.😰  Estoy perdiendo esperanza aproximadamente Roger Federer Diversión de tristeza #de Sitio web	","sadness", 0.583
"2017-En-41243","	nueva tidbit : puedes caer dormido encima alguien mientras bailando . #blues #latenight	","sadness", 0.083
"2017-En-40725","	#RiceFODays Ahora soy Alex Butler  clase en administración financiera . Inicios fuera con una clase grande, pertinente discusión: películas y se hundió costes	","sadness", 0.229
"2017-En-40212","	i cant parón . i Acabado - dejected . Afortunadamente nadie es en el baño . Tan i ir a una parada y la espera hasta mis pantalones es seca .	","sadness", 0.625
"2017-En-40570","	@username   Pensamos los tragos y los vencejos han ido ? Foto'd num hace noches, no visto desde entonces.  #Autumn	","sadness", 0.354
"2017-En-41328","	@username @username jinete de pino	","sadness", 0.295
"2017-En-40771","	Complace oso conmigo, no soy Twitter savvy😝 en vida real soy una persona de Facebook. Me ayudo blog de seguidores 🤓 #del beneficio #selfhelp	","sadness", 0.146
"2017-En-40748","	@username @username @username linc el hundirse	","sadness", 0.208
"2017-En-41323","	Honestamente no sabe por qué soy tan infeliz la mayoría del tiempo . Justo lo quiero todo para parar :( #itnevergoes	","sadness", 0.949
"2017-En-41439","	nooo . Campana Azul pobre ! No otra vez . #Triste	","sadness", 0.792
"2017-En-41070","	El @username es en contienda y hosting @username la nación y El Camden es vacíos #tristes	","sadness", 0.658
"2017-En-41526","	no fui hecho para este mundo . #empath #Infeliz	","sadness", 0.750
"2017-En-40345","	Im clase de confundió . El cosa i hacer bien ahora tiene un futuro grande, pero por otro lado tan hace la cosa nueva .  #needhelp	","sadness", 0.521
"2017-En-40361","	Cuándo seguro de salud no cubrirá TMS pero  me dejamos saber  cubren ECT #mentalhealth #psicología #TMS #ECT	","sadness", 0.521
"2017-En-41391","	@username Paddy McNair es nuestra junta anotador superior ... yeah ... justlet Aquello se hunde en haha	","sadness", 0.208
"2017-En-40528","	@username ^ ' ll justo #tambalearse llevar  #te hundes	","sadness", 0.396
"2017-En-40026","	Lo que un anochecer triste - aclarando fuera todo de la jaula y las pertenencias de Harvey . Ahora tan final . Adiós Mi poco hombre ... #Deprimiendo	","sadness", 0.854
"2017-En-40524","	“ La importancia inmensa de fútbol es a veces scary . Cuándo tú don ' t gana eres responsable para tantas personas infelices . ” - Arsene Wenger	","sadness", 0.396
"2017-En-22136","	Correcto i puede ser un #sufc seguidor y el fútbol quizás mierda pero marcos rojo para #mufc ha tenido un inicio impresionante es justo terrible	","sadness", 0.583
"2017-En-41511","	@username yeah estar de acuerdo - I piensa sea un miembro familiar y  cubrieron arriba	","sadness", 0.408
"2017-En-40210","	@username mi corazón de hecho hundido loool era tan confundido	","sadness", 0.625
"2017-En-41407","	Muy deprimiendo viendo mi entero fam empaquetando para ir en vacaciones mañana y justo estoy quedándome aquí 🙃	","sadness", 0.688
"2017-En-41524","	@username : no puedo encontrar mi patronus, el sitio web no trabaja,  puedo no incluso ver las cuestiones.... #Tristeza...	","sadness", 0.729
"2017-En-41479","	Hey El hombre eres asian ? ! ' Nah Hombre im hispan ... ' nah te Justo alto tan infierno . ' Algún aleatorio crackhead en el wal-mart parcela de aparcamiento ... cmon #Sereno	","sadness", 0.238
"2017-En-40277","	@username @username  tengo #teampaella presentes en su manera para ti y Fi pero no pienso  llegarán por sábado tristemente ! ! ;)	","sadness", 0.583
"2017-En-40803","	@username @username @username Qué eres haciendo a mis orejas ? A mi alma ? ! #GoodMusic #melancholy	","sadness", 0.236
"2017-En-40623","	@username yep &  Me quedé en pjs todo el día demasiado lol x	","sadness", 0.312
"2017-En-40331","	@username  lo adivino tiene que ser realmente caro ... Para mí  es que la familia entera quedada en Polonia, así que realmente les pierdo...	","sadness", 0.542
"2017-En-41457","	Tiene cualquiera de ti nunca quedado en albergues en el extranjero ? Mi marco único de referencia es el Albergue de película, y nosotros todo sabe cómo aquello fue.	","sadness", 0.229
"2017-En-40897","	Escribe bebido . Edita Sereno . \ nForget Para salvar . Despierta hungover . \ n #amwriting #Sereno	","sadness", 0.312
"2017-En-40240","	@username haciendo el exacto mismo minus la cerveza tristemente	","sadness", 0.604
"2017-En-40651","	Cuándo lágrimas r inapropiados : ' Este día es santo a nuestro Señor . No apena, para la alegría de la SEÑORA es vuestra fuerza.' Nehemiah 8:10 NIV #alegría	","sadness", 0.311
"2017-En-40560","	@username yea lol catchy te fret	","sadness", 0.358
"2017-En-41063","	Rooney = whipping chico . #mufc	","sadness", 0.354
"2017-En-21938","	# num Renegado entonces mientras su cabeza y entonces llamado  no desesperación de la piedad del dios si  hiciste los pecados vuelven a él y preguntar su forgiveness	","sadness", 0.467
"2017-En-41389","	_Su mente es una #habitación oscura,\nDeveloping #miembros  ♨😘	","sadness", 0.562
"2017-En-40656","	de Banda de la Locura quisieron . Me contacto #NewcastleGateshead #Sunderland #músicos #musicbusiness #musicislife #música #musically #banda #blues #folk	","sadness", 0.299
"2017-En-40990","	tristeza Agobiante . Esto también pasará . #lonley #startingover	","sadness", 0.917
"2017-En-40702","	@username \ n \ nHearing Los ruidos, Akame abiertos sus ojos y sentó arriba, de frente a Juvia. No espere en absoluto para ver alguien alrededor y staid --	","sadness", 0.266
"2017-En-41402","	Nunca dejado la tristeza de vuestra ruina pasada vuestro futuro	","sadness", 0.292
"2017-En-40583","	- - utilizado como peón en el juego de esta mujer roja ] Por ahora, prueba no a fret y acto como si nada es amiss. Esto es un real -- @TheLadyOfGlenco	","sadness", 0.354
"2017-En-41180","	( murmullo ) no puedo arrugar la frente .	","sadness", 0.271
"2017-En-40441","	@username Personas haber tanto negativity llenados dentro les pero im siempre felices que en tal gloomy mundiales alguien como u existe Namjoon	","sadness", 0.450
"2017-En-21865","	Va fuera complacer ...  Estoy suplicando » » » #miedo #de preocupación #de ansiedad #de depresión #tristeza \ nDreams de alegría y mi criatura para ser encontrada ... Sienta en #AndisBench	","sadness", 0.896
"2017-En-40676","	no es desalentado por unas ventas de retrasar mercado . Esto probará vuestro modelo empresarial y pinpoint #fuerzas y #debilidades . ' @username	","sadness", 0.271
"2017-En-40743","	La diferencia entre alguien es selfies cuándo son felices vs . Infeliz absolutamente está asombrando .	","sadness", 0.208
"2017-En-40949","	Viviendo con #la depresión no te significa tiene que ser derrotado por él \ nevery el día es un día nuevo y ayer no decide qué hoy parece :-)	","sadness", 0.438
"2017-En-40179","	Incluso un lápiz ✏ nunca #quedado conmigo hasta que es #fin ⚫ 😞	","sadness", 0.667
"2017-En-41200","	Demasiados es en su ' yeah, la cosa que va en con cops disparando las personas inocentes es tristes - pero justo no en mi backyard, así que..' #Triste #blm	","sadness", 0.724
"2017-En-41262","	Tan blend la mentira de aguas \ nThere shrines y libre - El melancholy mentira de aguas \ nNo rayos de fuera del atenuar marea - Como si la parra	","sadness", 0.438
"2017-En-40448","	@username no mira . Sólo serás muy, muy infeliz. \n\n(NNGH. Conseguía el email notif GRACIAS.)	","sadness", 0.438
"2017-En-41493","	@username @username @username Feliz la cobertura de televisión era tan exitosa porque el attendance mirado bastante dismal .	","sadness", 0.438
"2017-En-41069","	vale Sí  lo consigo tanto como el tipo próximo - - bicicletas blues & bbq está frustrando & fuerte ! ! ! Pero estos ppl está viajando de por todas partes para venir - -	","sadness", 0.250
"2017-En-41450","	El campo fértil no descansado, tórnase estéril	","sadness", 0.500
"2017-En-40057","	y otra vez cochinamente y self aborreciendo actitud mope hablando	","sadness", 0.792
"2017-En-41078","	Hoy  me visité en mis sueños e incluso aunque no eres físicamente ido todavía te lloro	","sadness", 0.771
"2017-En-40318","	Probando tomar qué está perdido y roto y hacerlo correcto	","sadness", 0.542
"2017-En-40203","	@username #mhchat experiencias de Niñez informan relaciones de adulto .  Tenemos associative memorias No una cuestión de habilidad de procesar #tristeza	","sadness", 0.625
"2017-En-40675","	@username Es, soy serio 23/8	","sadness", 0.271
"2017-En-40557","	@username @username sólo si  pagarás para ellos y TÚ serán responsables para ellos y su doings . #Sereno #real #ciego	","sadness", 0.369
"2017-En-21929","	I lo voy a hacer la misión para desalentar de mi vida cualquiera de utilizar @username . Te atracarán ciegos	","sadness", 0.646
"2017-En-41096","	@username medios de comunicación Don celebrado Rey que aprueba #Obama en num y num ahora criticarle para aprobar #Supera quién quiere era de Derechos Civil nueva - triste	","sadness", 0.562
"2017-En-40322","	numam blues mientras montando una casa de taxi :\ n - mi vientre es mucho más grande que el resto de mi cuerpo \ n - pero i couldnt ser preggy \ n - cómo para perder él en un día	","sadness", 0.542
"2017-En-40759","	ESTA NOCHE - Fulford Armas, York \nTOMORROW - Amontonar Superior Tavern, Oldham\nNEXT SÁBADO- Manos Grandes, Mánchester \n\n#livemusic #punk #blues #rockandroll	","sadness", 0.188
"2017-En-40591","	no crece cansado de hacer bueno ' un legado duradero @username @username #CGInum #thankfulmoment @username	","sadness", 0.343
"2017-En-40233","	@username no soy allí todavía . No se ha hundido en todavía . Resto arriba .	","sadness", 0.604
"2017-En-40566","	Hay #drings #serios en #India ' s #armadura ' \ n #proteína \ n #desnutrición \ n #feedingIndia \ n #skillingIndia \ n #déficit #cognitivo \ n @username	","sadness", 0.354
"2017-En-41474","	@username @username te consiguió pirateado en vuestro gaming el canal siniestro por payasos de madera del mal ayer septiembre num y septiembre num hoy	","sadness", 0.396
"2017-En-40421","	@username - aquello era bastante forlorn, escaneando la casa de brujas antes de descansar atrás en Elphie. 'El Grimmerie está ido.'	","sadness", 0.458
"2017-En-41359","	Si te encanta algo, dejado  vaya. Si  vuelve, es el vuestro. Si él  no, él nunca . #La tristeza que #acepta	","sadness", 0.771
"2017-En-41022","	consejo de Necesidad encima cómo para salir de esta rodera ! ! ! #needmotivation	","sadness", 0.729
"2017-En-22077","	@username #UPLIFT Si eres todavía desalentado  significa UR Escuchando a las voces incorrectas que & miran a la fuente incorrecta . Mirada al SEÑOR !	","sadness", 0.250
"2017-En-41381","	@username — Bastante alguien aquello le podría ayudar . Preocupación clouded sus ojos verdes, no una vez teniendo visto una chica sólo en el bosque y —	","sadness", 0.438
"2017-En-41332","	@username dude nosotros mismos fukc i perdidos mis ojeras esta mañana ...	","sadness", 0.458
"2017-En-40643","	Kinda Quiere justo reservar unas vacaciones e ir ... Cualquiera quiere tag a lo largo de ? #La aventura #seria	","sadness", 0.312
"2017-En-40531","	Viendo algo aquello hace daño tanto antiguamente delante de mí ahora y no una señal sola de apenar . Magicalll . ✨	","sadness", 0.396
"2017-En-40065","	Tan maldito triste cuándo la persona te encanta no prueba luchando para vuestra felicidad, cuándo  harías cualquier cosa para ellos.	","sadness", 0.771
"2017-En-40294","	El sonido de cerradura nuevo es siniestro	","sadness", 0.562
"2017-En-40237","	@username @username \ nI como vuestro pensamiento ... Pero tristemente ningún - aquello es la cabaña 😢	","sadness", 0.604
"2017-En-41011","	Candace & su pout está consiguiendo correcto en mi tits #GBBO	","sadness", 0.417
"2017-En-40016","	 podemos no incluso apenar encima uno cuerpo negro antes de que otro revienta arriba debido a brutalidad de cerdo	","sadness", 0.892
"2017-En-40005","	Tan cuando  pruebo  fallo ... Y cuándo no pruebo ... Todavía fallo ... #Confundido y #perdió	","sadness", 0.917
"2017-En-40340","	@username Noel Edmonds considera un gato  está hablando a está acentuado debido a la incertidumbre sobre #GBBO futuro ! ? ! ? #La parcela #perdió	","sadness", 0.521
"2017-En-41472","	Caída mi teléfono en el hundirse earlier.no sonido, pero everythin más trabajos.Preparado yo de por vida sin música hasta que  puse mi earphones en	","sadness", 0.458
"2017-En-40812","	@username eres un ladrón y un liberal mope, investigado por el tablero de servicios financiero para robo de govt fondos de jubilación. LADRÓN	","sadness", 0.667
"2017-En-40999","	 somos en depresión contenida . Motor económico nuevo único es #Sostenibilidad, dice Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy	","sadness", 0.542
"2017-En-41301","	Despierto en num.num Soy con una garganta seriamente mala 😩 😩 😩 😷 🤒 las glándulas sienten huuuge y  soy en uni pronto ! #Estación	","sadness", 0.708
"2017-En-40806","	siniestra num y Charlie es todavía un pinchazo ! #Perdido	","sadness", 0.375
"2017-En-40182","	bastante moriría sólo entonces terminar con alguien quiénes no pueden ser serenos	","sadness", 0.660
"2017-En-40554","	@username soy prácticamente obsesionado con él, el muy pensado de su salida me hago sentir ambos melancólico y agradecido.  El viaje seguro	","sadness", 0.375
"2017-En-41052","	Va sigue ' juspopmolly ' en snapchat que hoe sentando en el hundirse correcto ahora @username	","sadness", 0.396
"2017-En-40860","	Mi num hijos de adolescentes justo dejados en el automovilísticos de conseguir cortes de pelo .  Estoy rogando arriba de una tormenta que  lo hacen en casa sin incidentes ! ! #Triste #TerenceCrutcher	","sadness", 0.667
"2017-En-41254","	Siempre tomar prestado dinero de un pessimist ; no espera para ser pagado atrás .	","sadness", 0.400
"2017-En-41034","	@username @username @username  Soy tristemente no, justo estoy siendo smutty	","sadness", 0.583
"2017-En-40172","	@username tristemente no :(	","sadness", 0.667
"2017-En-41057","	Cómo   ayudas alguien con #depresión que no cree  lo tienen y no confía en terapeutas ?	","sadness", 0.604
"2017-En-40713","	num/num Howland Casal, #BeaconNy Vickie Raabin &amp; Chris Raabe #blues #alma 8pm  @LocalMotionWVKR @hiddencitiesnyc 845-831-4988	","sadness", 0.250
"2017-En-40833","	@username Naturalmente no . No se hundió su studs a una rodilla como Forrester	","sadness", 0.396
"2017-En-40610","	Transparencia y transparencia ' es un atenuar vender para un grupo de seguidores - querer más a verbos les gusta comprar, defendiendo, construyendo y asegurando.	","sadness", 0.333
"2017-En-40533","	Estuvo sentado en mi habitación sentada cloved watchin Mánchester Unide @username v Norffampton  tú fink pero @username es objetivo quieto fret en iced el nivel que	","sadness", 0.375
"2017-En-41452","	Ve un viejo coworker y su mujer llora la pérdida de su num año la hija vieja era una de las cosas más tristes nunca he visto 😢	","sadness", 0.833
"2017-En-40695","	gloomy el tiempo me pongo en el humor mejor	","sadness", 0.271
"2017-En-41094","	me : tis un dreary día hoy \ nfriend : es un adolescente no la reencarnación de Shakespeare \ n \ nim tal dumbass lol	","sadness", 0.458
"2017-En-41258","	@username  soy siempre un poco cansar de hablar arriba porque num . No quiero hijack el convo - cuando un LGBT persona,  he visto	","sadness", 0.438
"2017-En-40090","	Baaarissshhh + canción triste = prefect la noche que — siente tonos	","sadness", 0.729
"2017-En-40698","	solos - \ n : num/num de mi favorito chris pino stans . i Tonos de amor más de cualquier cosa, mt niño de verano dulce i atacará cualquiera quién hace daño su	","sadness", 0.271
"2017-En-41118","	gotta decir este n puesto lo allí . Quienquiera u r, u tendría que apoyar las decisiones de otras personas n no desalentarles...	","sadness", 0.354
"2017-En-41240","	Esto es el @username #blues #joven .  Estoy quedando a la espera de juego encima él tan pronto como sea posible . #Guitarra #guitarrist #Aprendizaje	","sadness", 0.167
"2017-En-40578","	de música cómo para utilizar twitter #perdido	","sadness", 0.354
"2017-En-40872","	@username la tristeza con resentimiento es el pasado, la tristeza con miedo es el futuro. Intenta vivir en el ahora #MHchat	","sadness", 0.492
"2017-En-40708","	#Jazz - el #blues es las raíces, el resto es las frutas	","sadness", 0.250
"2017-En-41272","	De hecho siempre idealizo el fin de mis relaciones .. Tal pessimist	","sadness", 0.646
"2017-En-41018","	Consiguiendo tan entusiasmado para @username num ! !  Jugamos la etapa principal domingo Oct . num En num:num ! ! #jazzholiday #riesbrothers #Rock #blues #mermelada	","sadness", 0.125
"2017-En-40731","	Damn gud #premiere #LethalWeapon ... #Gracioso y @username	","sadness", 0.229
"2017-En-40393","	realmente disfruté ambos episodios .  Hube un poco de un gloomy día hoy pero siento un sentido de inspiración de escuchar .	","sadness", 0.479
"2017-En-41489","	Aquello es cómo tú empieza una estación aquello es cómo tú abre el espectáculo #les #muestra #infierno #qué #oscuro #puede #conseguir #Imperio	","sadness", 0.208
"2017-En-40119","	Esta habitación es bastante dreary, pero  soportamos qué  tenemos que.	","sadness", 0.708
"2017-En-40987","	@username @username  Daría aquel pout la empresa D	","sadness", 0.508
"2017-En-40969","	Así que bebido me escondió mis llaves muy bien serenos me no lo podría encontrar anywhere	","sadness", 0.250
"2017-En-40160","	Tuvo que dar mi numyo AfAm hijo este consejo hoy : ' ser educado, ningún movimiento repentino, mantener manos donde  les pueden ver'. #Tristeza	","sadness", 0.667
"2017-En-40922","	i estoy a punto de encontrar la tristeza en graham  letras	","sadness", 0.542
"2017-En-40948","	No un inicio grande pero retorno bueno de los chicos para ganar un punto . Trae el sábado #blues	","sadness", 0.354
"2017-En-41408","	su un gloomy día, im cuddled en mi cama que mira brendon canciones de cobertura e i couldnt ser más relajados o felices 😋	","sadness", 0.240
"2017-En-40038","	venidos al funeral mañana en num para llorar la muerte de mi gpa	","sadness", 0.833
"2017-En-40487","	Cuándo somos débiles & en desesperación, nuestro Muy el dios es cercano; nos dé fuerza &amp; alegría &amp; esperanza, &amp; tranquilo nuestro miedo interior, justo tener fe &amp; confianza.	","sadness", 0.417
"2017-En-40879","	@username Soy tan serio DM me  diré u más	","sadness", 0.396
"2017-En-41148","	Henderson mostrando que cuándo los tiempos son duros  deja o va perder #AFLCatsSwans #seenitbefore #leones #blues	","sadness", 0.396
"2017-En-40679","	TGIF ! Hope todo el mundo aquello necesita encontrar #lata de recuperación y que nuestros amigos se quedan #serenos este fin de semana ! @username @username	","sadness", 0.271
"2017-En-40213","	 Me pregunto qué pasaría si era un padre . #Cansado	","sadness", 0.625
"2017-En-40499","	Qué es una Kali  gatito ? [  Pregunte, un arrugar la frente curling en su justo skinned frente cuando  le muestre la cicatriz] Un gato  - (@ScarredTiger)	","sadness", 0.417
"2017-En-40438","	@username Doesnt  lo a cualquiera más, literalmente me estiré a la oficina causa alguien renegó yo spit en el hundirse ayer	","sadness", 0.457
"2017-En-40545","	@username me hice risa, aquello cita. En una clase de rueful manera.	","sadness", 0.375
"2017-En-40363","	@username Campaña negativa de hado y gloom no gana elecciones	","sadness", 0.521
"2017-En-40207","	@username tiene proporcionar clientes w / equipamiento que no entrega velocidades de servicios de internet que  han sido cobrando . #Estafa	","sadness", 0.625
"2017-En-41508","	@username nunca he sido cariñoso de habiendo ojos oscuros hasta que viendo esta participación .	","sadness", 0.375
"2017-En-40289","	Dylon sentía dejected .  Tiene un dejected tía !	","sadness", 0.562
"2017-En-40588","	No sé por qué todo el mundo está pretendiendo ser triste sobre angelina y brad, todo el mundo sabe su asno mudo se tendría que haber quedado con jennifer.	","sadness", 0.354
"2017-En-40856","	Yo  bastante risa con el genio más raro, en alianza bonita con su ser propio, donde  mantenga su tristeza. #melancholy	","sadness", 0.688
"2017-En-40729","	@username ' El más oscuro de las noches pueden ser brillantes, el solemnes de las caras alumbra con una sonrisa'. -@Totemprince Creer en mí, cuando  hago en ti	","sadness", 0.229
"2017-En-40601","	Bro Por qué verde de pino me olvido nots es mediumpurple pickering no es encendido y tan encima	","sadness", 0.333
"2017-En-41251","	el amor es cuando toda vuestra felicidad y toda vuestra tristeza y todos vuestros sentimientos son dependientes en otra persona .	","sadness", 0.333
"2017-En-41300","	El corazón pesado para perdido furry miembros familiares . Recordando Max y Ozzie . Para siempre amigos como 🐶 😇	","sadness", 0.750
"2017-En-41241","	Sueños dashed y divididos gusta millones de estrellas en el cielo de noche .	","sadness", 0.688
"2017-En-41166","	@username @username lmao Sobrecogimiento ...	","sadness", 0.292
"2017-En-41279","	Alguien explica seres humanos hembra a mí,  están deprimiéndome ._.	","sadness", 0.812
"2017-En-40198","	@username El programa grande esta noche #triste #trastornando #extremeworld	","sadness", 0.646
"2017-En-40475","	@username @username mi dios es @username un chelín lleno ? Seriamente  necesitas un importante rethink o ningún laboratorio gove en vuestro lifetime	","sadness", 0.417
"2017-En-41459","	 necesito toda vuestra atención ! Si yo  no yo  pout ..	","sadness", 0.417
"2017-En-40962","	Resaca de migraña todo el día . Mantenido en pie para hacer platos y ahora  estoy agotado otra vez . GAD, depresión &amp; dolor de ansiedad #de dolor  #crónico	","sadness", 0.812
"2017-En-40316","	Cuándo  viste una camiseta con la frase ' Mi mente es un sitio peligroso para ser ' y te gustaría comprar, pero en Italia no lo vende. #Tristeza	","sadness", 0.542
"2017-En-41356","	A pesar de que esto es mi semestre mejor tan lejos, esto es también mi más deprimiendo porque  soy constantemente recordó que no soy significado para grandeza	","sadness", 0.729
"2017-En-40180","	tan gutted i caído uno de mis pendientes abajo el hundirse en escolar	","sadness", 0.667
"2017-En-21965","	Recordar vuestro viaje es único ! No consigue desalentado porque  estás comparando vuestro viaje a alguien más es .  Conseguirás allí !	","sadness", 0.250
"2017-En-40114","	@username Parón ! ! ! No Me hace risa cuándo estoy siendo triste .	","sadness", 0.708
"2017-En-40001","	Sintiendo worthless tan siempre #la depresión que	","sadness", 0.958
"2017-En-41089","	Escucha a @username en el trabajo es mi trozo de sol en este dreary el cubo mundial #numtonumlife	","sadness", 0.479
