@relation lexicons/arabic/translated_from_english/text_lexicons_without_instructions_etc/bingliu_ar.txt

@attribute english string 
@attribute arabic string
@attribute buckwalter string
@attribute sentscore numeric 

@data
"appreciate","نقدر","nqdr",1
"appreciated","تقدير","tqdyr",1
"appreciates","تقدر","tqdr",1
"appreciative","ممتدح","mmtdH",1
"appreciatively","بتقدير","btqdyr",1
"appropriate","مناسب","mnAsb",1
"approval","موافقة","mwAfqp",1
"approve","وافق","wAfq",1
"ardent","متحمس","mtHms",1
"ardently","بحماسة","bHmAsp",1
"ardor","حماسة","HmAsp",1
"articulate","توضيح","twDyH",1
"aspiration","طموح","TmwH",1
"aspirations","تطلعات","tTlEAt",1
"aspire","تاق","tAq",1
"assurance","توكيد","twkyd",1
"assurances","تأكيدات","tAkydAt",1
"assure","ضمان","DmAn",1
"assuredly","بالتأكيد","bAltAkyd",1
"assuring","ضمان","DmAn",1
"astonish","ذهل","*hl",1
"astonished","مندهش","mndh$",1
"astonishing","مذهل","m*hl",1
"astonishingly","مدهش","mdh$",1
"astonishment","دهشة","dh$p",1
"astound","ذهل","*hl",1
"astounded","مشدوه","m$dwh",1
"astounding","مذهل","m*hl",1
"astoundingly","وسط ذهول","wsT *hwl",1
"astutely","بذكاء","b*kA'",1
"attentive","منتبه","mntbh",1
"attraction","جاذبية","jA*byp",1
"attractive","جذاب","j*Ab",1
"attractively","جذاب","j*Ab",1
"attune","ناغم","nAgm",1
"audible","مسموع","msmwE",1
"audibly","سمع بوضوح","smE bwDwH",1
"auspicious","ميمون","mymwn",1
"authentic","حقيقي","Hqyqy",1
"authoritative","موثوق","mwvwq",1
"autonomous","مستقل","mstql",1
"available","متاح","mtAH",1
"aver","جزم","jzm",1
"avid","نهم","nhm",1
"avidly","بشوق","b$wq",1
"award","جائزة","jA}zp",1
"awarded","منحت","mnHt",1
"awards","الجوائز","AljwA}z",1
"awe","رعب","rEb",1
"awed","بالرعب","bAlrEb",1
"awesome","رائع","rA}E",1
"awesomely","بذهول","b*hwl",1
"awesomeness","الذهول","Al*hwl",1
"awestruck","مرعوب","mrEwb",1
"awsome","أوسم","Awsm",1
"backbone","العمود الفقري","AlEmwd Alfqry",1
"balanced","متوازن","mtwAzn",1
"bargain","صفقة","Sfqp",1
"beauteous","جميل","jmyl",1
"beautiful","جميل","jmyl",1
"beautifullly","beautifullly","beautifullly",1
"beautifully","جميل","jmyl",1
"beautify","تجميل","tjmyl",1
"beauty","الجمال","AljmAl",1
"beckon","أغرى","Agry",1
"beckoned","سنحت","snHt",1
"beckoning","تومئ","twm}",1
"beckons","يومئ","ywm}",1
"believable","معقول","mEqwl",1
"believeable","believeable","believeable",1
"beloved","محبوب","mHbwb",1
"benefactor","فاعل خير","fAEl xyr",1
"beneficent","رحيم","rHym",1
"beneficial","مفيد","mfyd",1
"beneficially","مفيد","mfyd",1
"beneficiary","المستفيد","Almstfyd",1
"benefit","فائدة","fA}dp",1
"benefits","فوائد","fwA}d",1
"benevolence","خير","xyr",1
"benevolent","خير","xyr",1
"benifits","نفع","nfE",1
"best","أفضل","AfDl",1
"best-known","المعروفة أفضل","AlmErwfp AfDl",1
"best-performing","أفضل الأداء","AfDl AlAdA'",1
"best-selling","أفضل مبيعات","AfDl mbyEAt",1
"better","أفضل","AfDl",1
"better-known","المعروفة أفضل","AlmErwfp AfDl",1
"better-than-expected","أفضل مما كان متوقعا","AfDl mmA kAn mtwqEA",1
"beutifully","بيوتيفولي","bywtyfwly",1
"blameless","برئ","br}",1
"bless","بارك","bArk",1
"blessing","بركة","brkp",1
"bliss","النعيم","AlnEym",1
"blissful","سعيد","sEyd",1
"blissfully","بسعادة","bsEAdp",1
"blithe","مبتهج","mbthj",1
"blockbuster","اقبال","AqbAl",1
"bloom","إزهار","AzhAr",1
"blossom","زهر","zhr",1
"bolster","دعم","dEm",1
"bonny","وسيم","wsym",1
"bonus","علاوة","ElAwp",1
"bonuses","المكافآت","AlmkAfAt",1
"boom","ازدهار","AzdhAr",1
"booming","ازدهار","AzdhAr",1
"boost","زيادة","zyAdp",1
"boundless","غير محدود","gyr mHdwd",1
"bountiful","وافر","wAfr",1
"brainiest","brainiest","brainiest",1
"brainy","ذكي","*ky",1
"brand-new","علامة تجارية جديدة","ElAmp tjAryp jdydp",1
"brave","شجاع","$jAE",1
"bravery","شجاعة","$jAEp",1
"bravo","مرحى","mrHy",1
"breakthrough","اختراق","AxtrAq",1
"breakthroughs","اختراقات","AxtrAqAt",1
"breathlessness","ضيق التنفس","Dyq Altnfs",1
"breathtaking","مثير","mvyr",1
"breathtakingly","بشكل مذهل","b$kl m*hl",1
"breeze","نسيم","nsym",1
"bright","مشرق","m$rq",1
"brighten","سطع","sTE",1
"brighter","أكثر إشراقا","Akvr A$rAqA",1
"brightest","ألمع","AlmE",1
"brilliance","تألق","tAlq",1
"brilliances","brilliances","brilliances",1
"brilliant","متألق","mtAlq",1
"brilliantly","ببراعة","bbrAEp",1
"brisk","انتعش","AntE$",1
"brotherly","أخوي","Axwy",1
"bullish","متفائل","mtfA}l",1
"buoyant","قابل للطفو","qAbl llTfw",1
"cajole","تملق","tmlq",1
"calm","هدوء","hdw'",1
"calming","تهدئة","thd}p",1
"calmness","هدوء","hdw'",1
"capability","قدرة","qdrp",1
"capable","قادر على","qAdr Ely",1
"capably","باقتدار","bAqtdAr",1
"captivate","أسر","Asr",1
"captivating","آسر","Asr",1
"carefree","خلو من الهم","xlw mn Alhm",1
"cashback","استرداد النقود","AstrdAd Alnqwd",1
"cashbacks","cashbacks","cashbacks",1
"catchy","جذاب","j*Ab",1
"celebrate","احتفل","AHtfl",1
"celebrated","مشهور","m$hwr",1
"celebration","احتفال","AHtfAl",1
"celebratory","محتفل","mHtfl",1
"champ","عض","ED",1
"champion","بطل","bTl",1
"charisma","جاذبية","jA*byp",1
"charismatic","الكاريزمية","AlkAryzmyp",1
"charitable","خيري","xyry",1
"charm","سحر","sHr",1
"charming","جذاب","j*Ab",1
"charmingly","مسحور","msHwr",1
"chaste","عفيف","Efyf",1
"cheaper","أرخص","ArxS",1
"cheapest","أرخص","ArxS",1
"cheer","هتاف","htAf",1
"cheerful","مرح","mrH",1
"cheery","مبتهج","mbthj",1
"cherish","نعتز به","nEtz bh",1
"cherished","العزيزة","AlEzyzp",1
"cherub","طفل جميل","Tfl jmyl",1
"chic","أناقة","AnAqp",1
"chivalrous","شهم","$hm",1
"chivalry","شهامة","$hAmp",1
"civility","كياسة","kyAsp",1
"civilize","حضر","HDr",1
"clarity","وضوح","wDwH",1
"classic","كلاسيكي","klAsyky",1
"classy","أنيق","Anyq",1
"clean","نظيف","nZyf",1
"cleaner","منظف","mnZf",1
"cleanest","أنظف","AnZf",1
"cleanliness","نظافة","nZAfp",1
"cleanly","نظيف","nZyf",1
"clear","واضح","wADH",1
"clear-cut","واضح","wADH",1
"cleared","مسح","msH",1
"clearer","أكثر وضوحا","Akvr wDwHA",1
"clearly","بوضوح","bwDwH",1
"clears","يخلي","yxly",1
"clever","ذكي","*ky",1
"cleverly","بذكاء","b*kA'",1
"cohere","التحم","AltHm",1
"coherence","تماسك","tmAsk",1
"coherent","متماسك","mtmAsk",1
"cohesive","متماسك","mtmAsk",1
"colorful","غني بالألوان","gny bAlAlwAn",1
"comely","وسيم","wsym",1
"comfort","راحة","rAHp",1
"comfortable","مريح","mryH",1
"comfortably","مريح","mryH",1
"comforting","تعزية","tEzyp",1
"comfy","مريح","mryH",1
"commend","نثني","nvny",1
"commendable","جدير بالثناء","jdyr bAlvnA'",1
"commendably","يستحق الثناء","ystHq AlvnA'",1
"commitment","التزام","AltzAm",1
"commodious","commodious","commodious",1
"compact","اتفاق","AtfAq",1
"compactly","مضغوط","mDgwT",1
"compassion","شفقة","$fqp",1
"compassionate","رحيم","rHym",1
"compatible","متوافق","mtwAfq",1
"competitive","تنافسي","tnAfsy",1
"complement","تكملة","tkmlp",1
"complementary","مكمل","mkml",1
"complemented","تستكمل","tstkml",1
"complements","تكملة","tkmlp",1
"compliant","متوافقة","mtwAfqp",1
"compliment","إطراء","ATrA'",1
"complimentary","مجاني","mjAny",1
"comprehensive","شامل","$Aml",1
"conciliate","استرضى","AstrDy",1
"conciliatory","مصلحجي","mSlHjy",1
"concise","موجز","mwjz",1
"confidence","الثقة","Alvqp",1
"confident","واثق","wAvq",1
"congenial","متجانس روحا وطبعا","mtjAns rwHA wTbEA",1
"congratulate","هنأ","hnA",1
"congratulation","تهنئة","thn}p",1
"congratulations","تهنئة","thn}p",1
"congratulatory","تهنيئي","thny}y",1
"conscientious","منجز وفقا لما يمليه الضمير","mnjz wfqA lmA ymlyh AlDmyr",1
"considerate","ترو","trw",1
"consistent","متسق","mtsq",1
"consistently","باستمرار","bAstmrAr",1
"constructive","استدلالي","AstdlAly",1
"consummate","ماهر","mAhr",1
"contentment","اطمئنان","ATm}nAn",1
"continuity","الاستمرارية","AlAstmrAryp",1
"contrasty","contrasty","contrasty",1
"contribution","إسهام","AshAm",1
"convenience","ملاءمة","mlA'mp",1
"convenient","مناسب","mnAsb",1
"conveniently","مريح","mryH",1
"convience","كونفينسي","kwnfynsy",1
"convienient","كونفينينت","kwnfynynt",1
"convient","كونفينت","kwnfynt",1
"convincing","مقنع","mqnE",1
"convincingly","مقنع","mqnE",1
"cool","بارد","bArd",1
"coolest","أروع","ArwE",1
"cooperative","جمعية تعاونية","jmEyp tEAwnyp",1
"cooperatively","تعاوني","tEAwny",1
"cornerstone","حجر الزاوية","Hjr AlzAwyp",1
"correct","صحيح","SHyH",1
"correctly","بشكل صحيح","b$kl SHyH",1
"cost-effective","فعاله من حيث التكلفه","fEAlh mn Hyv Altklfh",1
"cost-saving","التوفير في التكاليف","Altwfyr fy AltkAlyf",1
"counter-attack","الهجوم المضاد","Alhjwm AlmDAd",1
"counter-attacks","هجمات مضادة","hjmAt mDAdp",1
"courage","شجاعة","$jAEp",1
"courageous","شجاع","$jAE",1
"courageously","بشجاعة","b$jAEp",1
"courageousness","courageousness","courageousness",1
"courteous","مهذب","mh*b",1
"courtly","متملق","mtmlq",1
"covenant","عهد","Ehd",1
"cozy","دافئ","dAf}",1
"creative","خلاق","xlAq",1
"credence","تصديق","tSdyq",1
"credible","موثوق","mwvwq",1
"crisp","هش","h$",1
"crisper","هش","h$",1
"cure","شفاء","$fA'",1
"cure-all","علاج للجميع","ElAj lljmyE",1
"cushy","هين","hyn",1
"cute","جذاب","j*Ab",1
"cuteness","الجاذبية","AljA*byp",1
"danke","danke","danke",1
"danken","danken","danken",1
"daring","جرأة","jrAp",1
"daringly","بجرأة","bjrAp",1
"darling","محبوب","mHbwb",1
"dashing","أنيق","Anyq",1
"dauntless","شجاع","$jAE",1
"dawn","فجر","fjr",1
"dazzle","انبهار","AnbhAr",1
"dazzled","مبهور","mbhwr",1
"dazzling","باهر","bAhr",1
"dead-cheap","ميتا رخيصة","mytA rxySp",1
"dead-on","الميت على اساس","Almyt Ely AsAs",1
"decency","حشمة","H$mp",1
"decent","لائق","lA}q",1
"decisive","حاسم","HAsm",1
"decisiveness","حسم","Hsm",1
"dedicated","مكرسة","mkrsp",1
"defeat","هزيمة","hzymp",1
"defeated","مهزوم","mhzwm",1
"defeating","قهر","qhr",1
"defeats","الهزائم","AlhzA}m",1
"defender","المدافع","AlmdAfE",1
"deference","إذعان","A*EAn",1
"deft","ماهر","mAhr",1
"deginified","deginified","deginified",1
"delectable","لذيذ","l*y*",1
"delicacy","دقة","dqp",1
"delicate","دقيق","dqyq",1
"delicious","لذيذ","l*y*",1
"delight","بهجة","bhjp",1
"delighted","في منتهى السعادة","fy mnthy AlsEAdp",1
"delightful","لذيذ","l*y*",1
"delightfully","مبهج","mbhj",1
"delightfulness","عذوبة","E*wbp",1
"dependable","جدير بالثقة","jdyr bAlvqp",1
"dependably","بثقة","bvqp",1
"deservedly","باستحقاق","bAstHqAq",1
"deserving","مستحق","mstHq",1
"desirable","مرغوب فيه","mrgwb fyh",1
"desiring","ورغبة منها","wrgbp mnhA",1
"desirous","متلهف","mtlhf",1
"destiny","مصير","mSyr",1
"detachable","انفصال","AnfSAl",1
"devout","ورع","wrE",1
"dexterous","حاذق","HA*q",1
"dexterously","بمهارة","bmhArp",1
"dextrous","حاذق","HA*q",1
"dignified","جليل","jlyl",1
"dignify","احترم","AHtrm",1
"dignity","كرامة","krAmp",1
"diligence","اجتهاد","AjthAd",1
"diligent","مجتهد","mjthd",1
"diligently","بجد","bjd",1
"diplomatic","دبلوماسي","dblwmAsy",1
"dirt-cheap","بسعر رخيص جدا","bsEr rxyS jdA",1
"distinction","تميز","tmyz",1
"distinctive","مميز","mmyz",1
"distinguished","متميز","mtmyz",1
"diversified","متنوع","mtnwE",1
"divine","إلهي","Alhy",1
"divinely","إلهيا","AlhyA",1
"dominate","سيطر","syTr",1
"dominated","هيمنت","hymnt",1
"dominates","يهيمن","yhymn",1
"dote","حب لدرجة الجنون","Hb ldrjp Aljnwn",1
"dotingly","مخرف","mxrf",1
"doubtless","بدون شك","bdwn $k",1
"dreamland","ارض الاحلام","ArD AlAHlAm",1
"dumbfounded","صعق","SEq",1
"dumbfounding","مدهش","mdh$",1
"dummy-proof","وهمية واقية","whmyp wAqyp",1
"durable","متحمل","mtHml",1
"dynamic","ديناميكي","dynAmyky",1
"eager","حريص","HryS",1
"eagerly","بفارغ الصبر","bfArg AlSbr",1
"eagerness","لهفة","lhfp",1
"earnest","جدي","jdy",1
"earnestly","بجد","bjd",1
"earnestness","جدية","jdyp",1
"ease","سهولة","shwlp",1
"eased","خفف","xff",1
"eases","يخفف","yxff",1
"easier","أسهل","Ashl",1
"easiest","أسهل","Ashl",1
"easiness","سهولة","shwlp",1
"easing","تخفيف","txfyf",1
"easy","سهل","shl",1
"easy-to-use","سهل الاستخدام","shl AlAstxdAm",1
"easygoing","عيشة رغيدة","Ey$p rgydp",1
"ebullience","حماسة","HmAsp",1
"ebullient","متحمس","mtHms",1
"ebulliently","ebulliently","ebulliently",1
"ecenomical","ecenomical","ecenomical",1
"economical","اقتصادي","AqtSAdy",1
"ecstasies","النشوات","Aln$wAt",1
"ecstasy","نشوة","n$wp",1
"ecstatic","شاطح","$ATH",1
"ecstatically","مبتهجا","mbthjA",1
"edify","هذب","h*b",1
"educated","مثقف","mvqf",1
"effective","فعال","fEAl",1
"effectively","على نحو فعال","Ely nHw fEAl",1
"effectiveness","فعالية","fEAlyp",1
"effectual","فعال","fEAl",1
"efficacious","فعال","fEAl",1
"efficient","فعال","fEAl",1
"efficiently","بكفاءة","bkfA'p",1
"effortless","هين","hyn",1
"effortlessly","جهد","jhd",1
"effusion","راقة","rAqp",1
"effusive","منفتح القلب","mnftH Alqlb",1
"effusively","باهتا","bAhtA",1
"effusiveness","الفيض","AlfyD",1
"elan","حماسة","HmAsp",1
"elate","حمس","Hms",1
"elated","مبتهج","mbthj",1
"elatedly","elatedly","elatedly",1
"elation","عجب","Ejb",1
"electrify","كهرب","khrb",1
"elegance","أناقة","AnAqp",1
"elegant","أنيق","Anyq",1
"elegantly","بظرافة","bZrAfp",1
"elevate","رفع","rfE",1
"elite","نخبة","nxbp",1
"eloquence","بلاغة","blAgp",1
"eloquent","بليغ","blyg",1
"eloquently","ببلاغة","bblAgp",1
"embolden","شجع","$jE",1
"eminence","ربوة","rbwp",1
"eminent","بارز","bArz",1
"empathize","يتعاطفوا","ytEATfwA",1
"empathy","التقمص العاطفي","AltqmS AlEATfy",1
"empower","تمكين","tmkyn",1
"empowerment","التمكين","Altmkyn",1
"enchant","سبى","sby",1
"enchanted","مسحور","msHwr",1
"enchanting","ساحر","sAHr",1
"enchantingly","بهيج","bhyj",1
"encourage","شجع","$jE",1
"encouragement","تشجيع","t$jyE",1
"encouraging","مشجع","m$jE",1
"encouragingly","مشجع","m$jE",1
"endear","مات","mAt",1
"endearing","التحبيب","AltHbyb",1
"endorse","تأييد","tAyyd",1
"endorsed","أيد","Ayd",1
"endorsement","موافقة","mwAfqp",1
"endorses","ويؤيد","wyWyd",1
"endorsing","المصادقة","AlmSAdqp",1
"energetic","نشيط","n$yT",1
"energize","تنشيط","tn$yT",1
"energy-efficient","الموفرة للطاقة","Almwfrp llTAqp",1
"energy-saving","توفير الطاقة","twfyr AlTAqp",1
"engaging","جذاب","j*Ab",1
"engrossing","النسخ","Alnsx",1
"enhance","تحسين","tHsyn",1
"enhanced","تعزيزها","tEzyzhA",1
"enhancement","زيادة","zyAdp",1
"enhances","يعزز","yEzz",1
"enjoy","استمتع","AstmtE",1
"enjoyable","ممتع","mmtE",1
"enjoyably","بمتعة","bmtEp",1
"enjoyed","استمتعت","AstmtEt",1
"enjoying","تتمتع","ttmtE",1
"enjoyment","متعة","mtEp",1
"enjoys","تتمتع","ttmtE",1
"enlighten","تنوير","tnwyr",1
"enlightenment","تنوير","tnwyr",1
"enliven","أحيا","AHyA",1
"ennoble","عظم","EZm",1
"enough","يكفي","ykfy",1
"enrapt","enrapt","enrapt",1
"enrapture","بهج جدا","bhj jdA",1
"enraptured","أبهج","Abhj",1
"enrich","إثراء","AvrA'",1
"enrichment","تخصيب","txSyb",1
"enterprising","مغامر","mgAmr",1
"entertain","ترفيه","trfyh",1
"entertaining","مسلي","msly",1
"entertains","يسلي","ysly",1
"enthral","فتن","ftn",1
"enthrall","فتن","ftn",1
"enthralled","مستعبد","mstEbd",1
"enthuse","تحمس","tHms",1
"enthusiasm","حماس","HmAs",1
"enthusiast","متحمس","mtHms",1
"enthusiastic","متحمس","mtHms",1
"enthusiastically","بحماس","bHmAs",1
"entice","جذب","j*b",1
"enticed","أغرى","Agry",1
"enticing","جذاب","j*Ab",1
"enticingly","enticingly","enticingly",1
"entranced","مدوخ","mdwx",1
"entrancing","خلاب","xlAb",1
"entrust","فوض","fwD",1
"enviable","مرغوب فيه جدا","mrgwb fyh jdA",1
"enviably","يثير الحسد","yvyr AlHsd",1
"envious","حسود","Hswd",1
"enviously","الحسد","AlHsd",1
"enviousness","الحسد","AlHsd",1
"envy","حسد","Hsd",1
"equitable","منصف","mnSf",1
"ergonomical","تصميم ergonomical","tSmym ergonomical",1
"err-free","خالية من يخطئ","xAlyp mn yxT}",1
"erudite","واسع المعرفة","wAsE AlmErfp",1
"ethical","أخلاقي","AxlAqy",1
"eulogize","مدح","mdH",1
"euphoria","النشوة","Aln$wp",1
"euphoric","البهيجة","Albhyjp",1
"euphorically","euphorically","euphorically",1
"evaluative","مثمن","mvmn",1
"evenly","بالتساوي","bAltsAwy",1
"eventful","زاخر بالأحداث","zAxr bAlAHdAv",1
"everlasting","أبدي","Abdy",1
"evocative","مذكر","m*kr",1
"exalt","كثف","kvf",1
"exaltation","تمجيد","tmjyd",1
"exalted","ممجد","mmjd",1
"exaltedly","exaltedly","exaltedly",1
"exalting","الرفع","AlrfE",1
"exaltingly","exaltingly","exaltingly",1
"examplar","examplar","examplar",1
"examplary","قدوة","qdwp",1
"excallent","excallent","excallent",1
"exceed","تجاوز","tjAwz",1
"exceeded","تجاوز","tjAwz",1
"exceeding","تجاوز","tjAwz",1
"exceedingly","جدا","jdA",1
"exceeds","يتجاوز","ytjAwz",1
"excel","تفوق","tfwq",1
"exceled","exceled","exceled",1
"excelent","ممتازة","mmtAzp",1
"excellant","معاليكم","mEAlykm",1
"excelled","برع","brE",1
"excellence","امتياز","AmtyAz",1
"excellency","سعادة","sEAdp",1
"excellent","ممتاز","mmtAz",1
"excellently","ممتاز","mmtAz",1
"excels","تتفوق","ttfwq",1
"exceptional","استثنائي","AstvnA}y",1
"exceptionally","استثنائي","AstvnA}y",1
"excite","أثار","AvAr",1
"excited","منفعل","mnfEl",1
"excitedly","بحماس","bHmAs",1
"excitedness","excitedness","excitedness",1
"excitement","إثارة","AvArp",1
"excites","يثير","yvyr",1
"exciting","مثير","mvyr",1
"excitingly","والمثير","wAlmvyr",1
"exellent","EXELLENT","EXELLENT",1
"exemplar","نموذج","nmw*j",1
"exemplary","مثالي","mvAly",1
"exhilarate","نبه","nbh",1
"exhilarating","منعش","mnE$",1
"exhilaratingly","exhilaratingly","exhilaratingly",1
"exhilaration","ابتهاج","AbthAj",1
"exonerate","أبرئ","Abr}",1
"expansive","متمدد","mtmdd",1
"expeditiously","على وجه السرعة","Ely wjh AlsrEp",1
"expertly","بخبرة","bxbrp",1
"exquisite","رائع","rA}E",1
"exquisitely","رائع","rA}E",1
"extol","مجد","mjd",1
"extoll","extoll","extoll",1
"extraordinarily","غير عادي","gyr EAdy",1
"extraordinary","استثنائي","AstvnA}y",1
"exuberance","وفرة","wfrp",1
"exuberant","وافر","wAfr",1
"exuberantly","جذلا","j*lA",1
"exult","تهلل","thll",1
"exultant","متهلل","mthll",1
"exultation","تهلل","thll",1
"exultingly","exultingly","exultingly",1
"eye-catch","العين الصيد","AlEyn AlSyd",1
"eye-catching","لافتة للنظر","lAftp llnZr",1
"eyecatch","eyecatch","eyecatch",1
"eyecatching","eyecatching","eyecatching",1
"fabulous","رائع","rA}E",1
"fabulously","خرافي","xrAfy",1
"facilitate","تيسير","tysyr",1
"fair","معرض","mErD",1
"fairly","تماما","tmAmA",1
"fairness","عدل","Edl",1
"faith","إيمان","AymAn",1
"faithful","مخلص","mxlS",1
"faithfully","بأمانة","bAmAnp",1
"faithfulness","الإخلاص","AlAxlAS",1
"fame","شهرة","$hrp",1
"famed","مشهور","m$hwr",1
"famous","مشهور","m$hwr",1
"famously","الشهيرة","Al$hyrp",1
"fancier","هاوى تربية الكلاب","hAwy trbyp AlklAb",1
"fancinating","fancinating","fancinating",1
"fancy","نزوة","nzwp",1
"fanfare","جلبة","jlbp",1
"fans","المشجعين","Alm$jEyn",1
"fantastic","رائع","rA}E",1
"fantastically","خيالي","xyAly",1
"fascinate","فتن","ftn",1
"fascinating","جذاب","j*Ab",1
"fascinatingly","ساحرة","sAHrp",1
"fascination","سحر","sHr",1
"fashionable","من المألوف","mn AlmAlwf",1
"fashionably","عصريا","ESryA",1
"fast","بسرعة","bsrEp",1
"fast-growing","سريع النمو","sryE Alnmw",1
"fast-paced","سريع الخطى","sryE AlxTy",1
"faster","أسرع","AsrE",1
"fastest","أسرع","AsrE",1
"fastest-growing","الأسرع نموا","AlAsrE nmwA",1
"faultless","لا عيب فيه","lA Eyb fyh",1
"fav","الصوت العربي الحر","AlSwt AlErby AlHr",1
"fave","فف","ff",1
"favor","محاباة","mHAbAp",1
"favorable","ملائم","mlA}m",1
"favored","مفضل","mfDl",1
"favorite","مفضل","mfDl",1
"favorited","في المفضلة","fy AlmfDlp",1
"favour","محاباة","mHAbAp",1
"fearless","لا يعرف الخوف","lA yErf Alxwf",1
"fearlessly","دون خوف","dwn xwf",1
"feasible","عملي","Emly",1
"feasibly","عمليا","EmlyA",1
"feat","عمل","Eml",1
"feature-rich","ميزة الغنية","myzp Algnyp",1
"fecilitous","fecilitous","fecilitous",1
"feisty","المشاكس","Alm$Aks",1
"felicitate","هنأ","hnA",1
"felicitous","موفق","mwfq",1
"felicity","سعادة","sEAdp",1
"fertile","خصب","xSb",1
"fervent","متقد","mtqd",1
"fervently","بحماس","bHmAs",1
"fervid","متحمس","mtHms",1
"fervidly","fervidly","fervidly",1
"fervor","حماسة","HmAsp",1
"festive","احتفالي","AHtfAly",1
"fidelity","إخلاص","AxlAS",1
